ticket_id,customer_name,subject,body,category,priority,channel,created_at,resolved_at,resolution_notes,csat_score,_true_root_cause
175a559e,Cameron,Billed for a plan I already cancelled,"Billed for a plan I already cancelled. Can you explain this line item, it doesn't match what we agreed on the call.",Billing,high,phone,2026-04-18T15:09:00,2026-04-21T02:09:00,"Resolved after troubleshooting with customer; workaround provided, underlying issue not yet fixed in product.",4,rc_invoice_confusion
6ea2b4fc,Lucas,Reset link says expired immediately after I click it,"Reset link says expired immediately after I click it. This has happened every time I try to reset, not just once. Checked spam folder, nothing there.",Account Access,urgent,web_form,2026-05-04T12:20:00,2026-05-05T16:20:00,"Resolved after troubleshooting with customer; workaround provided, underlying issue not yet fixed in product.",2,rc_password_reset_loop
c1814ab1,Ines,Discount code not applying at checkout,"Discount code not applying at checkout. I double checked the code is correct, copy-pasted it directly from your email.",Billing,low,chat,2026-05-23T10:45:00,2026-05-25T23:45:00,"Resolved after troubleshooting with customer; workaround provided, underlying issue not yet fixed in product.",1,rc_checkout_promo_fail
b67b0ae7,Grace,"Can't log in, reset password page just spins forever","Can't log in, reset password page just spins forever. This has happened every time I try to reset, not just once. Checked spam folder, nothing there.",Account Access,urgent,phone,2026-06-11T13:38:00,2026-06-12T18:38:00,"Resolved after troubleshooting with customer; workaround provided, underlying issue not yet fixed in product.",3,rc_password_reset_loop
e8f06645,Lucas,My invoice shows a charge I don't recognize,"My invoice shows a charge I don't recognize. Can you explain this line item, it doesn't match what we agreed on the call.",Billing,high,web_form,2026-04-20T07:12:00,2026-04-23T03:12:00,"Resolved after troubleshooting with customer; workaround provided, underlying issue not yet fixed in product.",2,rc_invoice_confusion
c084d47c,Elena,"Coupon SAVE10 worked yesterday, now it says expired","Coupon SAVE10 worked yesterday, now it says expired. I double checked the code is correct, copy-pasted it directly from your email.",Billing,low,chat,2026-04-15T00:54:00,2026-04-16T20:54:00,"Resolved after troubleshooting with customer; workaround provided, underlying issue not yet fixed in product.",4,rc_checkout_promo_fail
c4fa71dd,Wei,Discount code not applying at checkout,"Discount code not applying at checkout. I double checked the code is correct, copy-pasted it directly from your email.",Billing,urgent,chat,2026-04-30T17:15:00,2026-05-02T09:15:00,"Resolved after troubleshooting with customer; workaround provided, underlying issue not yet fixed in product.",2,rc_checkout_promo_fail
53f7086b,Jordan,Setup wizard closed itself before I finished,"Setup wizard closed itself before I finished. Would help to have a clearer walkthrough, I almost gave up.",Onboarding,high,phone,2026-04-16T09:05:00,2026-04-17T06:05:00,"Resolved after troubleshooting with customer; workaround provided, underlying issue not yet fixed in product.",3,rc_onboarding_confusion
b800a7c9,Lucas,"Can't log in, reset password page just spins forever","Can't log in, reset password page just spins forever. This has happened every time I try to reset, not just once. Checked spam folder, nothing there.",Account Access,medium,chat,2026-05-31T01:18:00,2026-06-02T06:18:00,"Resolved after troubleshooting with customer; workaround provided, underlying issue not yet fixed in product.",4,rc_password_reset_loop
d34dd307,Elena,Upload gets stuck at 5% then app force closes,"Upload gets stuck at 5% then app force closes. Happens on every attempt, only on mobile, works fine on the website.",Technical / Bug,low,phone,2026-06-09T15:28:00,2026-06-10T02:28:00,"Resolved after troubleshooting with customer; workaround provided, underlying issue not yet fixed in product.",4,rc_mobile_upload_crash
f40b784f,Omar,Exported report doesn't match what I see in the dashboard,"Exported report doesn't match what I see in the dashboard. This is blocking our monthly reporting, need this fixed urgently.",Technical / Bug,high,phone,2026-04-10T01:10:00,2026-04-11T17:10:00,"Resolved after troubleshooting with customer; workaround provided, underlying issue not yet fixed in product.",1,rc_export_missing_data
cfc83cbb,Fatima,Downloaded export file is empty,"Downloaded export file is empty. This is blocking our monthly reporting, need this fixed urgently.",Technical / Bug,urgent,email,2026-04-04T15:06:00,2026-04-06T05:06:00,"Resolved after troubleshooting with customer; workaround provided, underlying issue not yet fixed in product.",1,rc_export_missing_data
f5655836,Sam,Asking about data residency for EU customers,"Asking about data residency for EU customers. Just curious, not urgent.",General Inquiry,low,phone,2026-05-01T01:00:00,2026-05-01T17:00:00,"Answered directly, no follow-up needed.",4,none
a5542014,Fatima,Charged for 6 seats but we only have 1 users,"Charged for 6 seats but we only have 1 users. Can you explain this line item, it doesn't match what we agreed on the call.",Billing,medium,chat,2026-05-20T13:11:00,2026-05-23T04:11:00,"Resolved after troubleshooting with customer; workaround provided, underlying issue not yet fixed in product.",3,rc_invoice_confusion
